Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
20230982472,"Sep 18, 2026, 4:00:34 PM",Night Walk,Walk,"",3600,6.00,,,false,,,,,,3600.0,3600.0,6000.0,,1.667,,,,,,0.0,,,,,,,,,542.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
20219891688,"Sep 17, 2026, 3:19:15 PM",Evening Walk,Walk,"",3600,6.00,,,false,,,,,,3600.0,3600.0,6000.0,,1.667,,,,,,0.0,,,,,,,,,542.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
20206245844,"Sep 16, 2026, 3:08:55 AM",Morning Walk,Walk,"",1800,3.00,,,false,,,,,,1800.0,1800.0,3000.0,,1.667,,,,,,0.0,,,,,,,,,271.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
20192303818,"Sep 15, 2026, 4:49:36 PM",Night Walk,Walk,"",2400,4.00,,,false,,,,,,2400.0,2400.0,4000.0,,1.667,,,,,,0.0,,,,,,,,,361.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
20178612297,"Sep 14, 2026, 1:01:46 PM",Evening Walk,Walk,"",3000,5.00,,,false,,,,,,3000.0,3000.0,5000.0,,1.667,,,,,,0.0,,,,,,,,,452.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
20162766556,"Sep 13, 2026, 2:50:19 PM",Evening Walk,Walk,"",3600,6.00,,,false,,,,,,3600.0,3600.0,6000.0,,1.667,,,,,,0.0,,,,,,,,,542.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
20149601173,"Sep 12, 2026, 2:31:41 AM",Morning Walk,Walk,"",2400,4.00,,,false,,,,,,2400.0,2400.0,4000.0,,1.667,,,,,,0.0,,,,,,,,,361.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
20134063889,"Sep 11, 2026, 4:01:16 PM",Night Walk,Walk,"",3000,5.00,,,false,,,,,,3000.0,3000.0,5000.0,,1.667,,,,,,0.0,,,,,,,,,452.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
20122946688,"Sep 10, 2026, 2:26:21 PM",Evening Walk,Walk,"",2400,4.00,,,false,,,,,,2400.0,2400.0,4000.0,,1.667,,,,,,0.0,,,,,,,,,361.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
20109457702,"Sep 9, 2026, 3:51:18 PM",Evening Walk,Walk,"",3000,5.00,,,false,,,,,,3000.0,3000.0,5000.0,,1.667,,,,,,0.0,,,,,,,,,452.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.667,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
